temperature,vibration,voltage,usage,actual_failure,predicted_failure,probability_of_failure
70.06964645956474,10.336921952539228,209.08066099604687,415.818568018411,0,0,0.031029938127274646
73.12833673882503,10.359788302306956,218.09960964998507,224.31855885352624,0,0,0.1389756131676521
67.3456561353984,13.231165647096464,198.79299847364933,298.27245423412273,1,1,0.8685550325381713
72.60970782808448,13.189010126449944,218.96745239850952,23.70775364451838,1,1,0.9272184583515348
76.52739403577165,10.02070523968676,226.6592425205446,917.2680665776807,1,1,0.8685017856311086
69.7614432192901,11.724786944765517,222.88723662825024,376.8668803471885,0,0,0.30435716758682
71.219003568856,12.171572649878694,203.60515837474566,718.7181132622023,1,1,0.8685306019653827
68.87111849756732,8.852599992122842,222.77376937958192,328.179482797612,1,0,0.014719806955099113
69.42730077373692,12.400827815888851,222.07267329398945,849.9593305032054,1,1,0.9399417924012685
69.68660451363414,10.617666025197927,210.83808084518756,339.30526730956745,0,0,0.037660826237642935
61.96776839871214,13.45392770246681,239.9251535316812,552.3661378172343,1,1,0.9573426328084444
73.0300497567282,9.517484690762915,230.45088474084753,23.94626527048349,1,1,0.7121768166141526
62.8206892441028,11.218276241814355,215.12771435886447,603.150120122947,0,0,0.11062281570735649
66.4782815472862,11.26944293712354,240.12270445700764,496.23922190081396,1,1,0.9637581510749984
62.96244152641089,13.230751378938884,209.91445315923792,418.3895333783335,0,1,0.7258601735569372
75.5165094100826,9.818933435391678,198.99973492348377,896.5746584690102,1,1,0.8900086480012552
62.14887640054772,7.359954977558589,217.1512450663033,209.69027743020087,0,0,0.044826763680457536
80.05102269383175,9.17837142409083,232.28980502489063,879.2795561570067,1,1,0.9073209155546099
72.02490855480478,6.888208707592746,229.21650111924458,689.0876537482296,0,0,0.5120327462176679
70.27862456144348,10.135711021054806,215.56955978871517,677.5458051837759,0,0,0.07918775149233802
63.74230287904778,8.188535398274762,224.6667098196608,861.4456860213243,1,1,0.9110958827781783
70.99529847786735,14.63865907996339,226.79373282956504,768.581330913202,1,1,0.9884507099150437
65.38383376944547,4.593535414001526,237.5547569831549,153.78370551321618,1,1,0.8686189253022472
70.13442919497265,10.863845089347882,244.11676675578423,953.402879382095,1,1,0.976614040620487
75.84647795222837,9.780780392148339,222.1539650545629,879.9146267270145,1,1,0.8162171922827116
73.24354943794822,9.259977940235744,259.26237706436325,507.75783818856877,1,1,0.9748902922250545
67.30120159845319,10.734574626802681,212.57515767461615,268.7976150301982,0,0,0.033725169264602735
69.72207664544773,6.873618382606686,208.62314329575185,641.8195168014354,1,0,0.19283216831937638
73.22687974792574,7.910381611957932,204.68892497444278,364.8224702077987,1,0,0.17311196881888308
63.84567841783022,11.402345484621797,205.3247473424756,897.9646468477886,1,1,0.9262892570718919
67.40864890863176,14.153495967121682,197.03819046862762,934.3041141674903,1,1,0.9610691281489603
67.38638489740481,10.701260198547118,223.86808520689203,288.1845259595295,0,0,0.05697254821163599
65.71421221791859,12.784004572689199,216.42554577189574,226.07907101056267,1,1,0.8400256944605529
74.20321774494361,11.311801553059523,206.3168496116719,337.3306088457655,0,1,0.5795860651007952
69.62783285449977,9.14139555096548,219.3823580013987,934.5438807155156,1,1,0.8817001430870972
66.73335383713145,8.460053537882716,206.6968637426101,201.52837800631283,0,0,0.038244973208573986
75.28561113109458,6.847215686031501,219.90699678861387,68.45045256601678,1,1,0.8685893820556432
72.71680096189968,11.164195406937232,249.8525900260341,481.277951219237,1,1,0.985430346480883
60.23956100238749,7.337534092884444,224.62060893251896,605.9969672710255,0,0,0.37740144262783604
67.65412173947648,10.369360611729817,205.5035478030147,284.54138567693377,0,0,0.040496906698241485
67.26570529379804,9.763862946017843,211.04930157723396,135.21731371285472,0,0,0.033990653592730555
70.24260813972414,10.176813772583694,206.48925633791978,277.06924971339964,0,0,0.04733409358674473
72.71280021792982,8.929529576878863,229.3757013762656,457.9289944340279,1,0,0.33836186426040477
80.4619363784273,10.973003287652404,236.74492433347538,676.3610678727241,1,1,0.9148372999620742
69.20030735018287,11.518310320605293,206.34044288799467,12.89746978952544,0,0,0.36059779123484204
67.22261440419872,13.550621785219024,228.33333911780306,849.0980199586761,1,1,0.9689851857201495
72.57523843153024,7.194789456400613,216.86941969476845,34.67270422606639,1,0,0.4231879325208355
78.9793883654776,6.502936053523639,226.81359510442948,709.3888218243862,1,1,0.8957374852996054
72.14809109566293,6.249655060708511,225.95029465835566,504.45594166935535,0,0,0.26359622831906165
66.53545202369673,9.802220693617715,225.22514105265756,81.59872000483837,0,0,0.12345047916428124
71.5390088444603,11.026211596352166,239.54157433750285,890.6584554618424,1,1,0.9630197859992694
74.79635413042604,6.772877204246518,225.01782736167544,995.5689004906878,1,1,0.9089463862437731
72.93428546900135,13.266863064602191,220.22465892812048,603.5288065011209,1,1,0.9775634251051462
65.25300555584029,11.022405199049961,219.26052434391607,663.0272037231474,0,0,0.15347962338696813
68.79381971071835,6.453935063586237,232.05994516546815,675.5867735674387,1,1,0.7659900611565613
70.98277388255788,11.793678631731064,216.7875723388209,316.94262176728137,0,0,0.397359470774303
73.93542301871226,14.581885145181484,222.46504778432003,583.2523923125568,1,1,0.9937577479573318
70.9792262754884,9.553068035256295,232.30874513154734,246.85702759573292,1,1,0.6240987830161234
71.46536236649341,13.284030320272738,207.3983523482742,926.4637979561849,1,1,0.9838841478245166
57.88060336685522,11.895052924245716,211.53684022534264,233.56736106861098,0,0,0.1736656969717689
76.91079495518764,9.823274081589329,225.08268639674588,505.5207917234903,1,1,0.6460692175108068
71.08229294790988,7.260394040841844,227.9062559916277,992.5817954877634,1,1,0.9393777079902292
62.42404468900724,9.731965666654165,212.14013967365017,601.8067339454473,0,0,0.0631637772378222
67.38569986423366,12.82186475949254,219.37995990633968,510.5704087285036,1,1,0.8684570090585584
59.791325657878545,11.508582659627148,226.02118320392483,297.65027756828044,0,0,0.335807723563959
72.0671745161185,9.034512955635936,213.75654610286776,948.9806670470014,1,1,0.915297239009131
57.641777499363556,8.79557587927644,244.26716486345524,799.7833644457834,1,1,0.9552348331999734
66.21824627357849,10.449369451503772,214.5044286409142,871.9130612805055,1,1,0.8267340735011829
75.26576426666452,8.496061336522361,211.51571365809184,232.2246909013431,1,1,0.5432624842209768
63.94491900118771,9.704794827402663,210.81313488513905,54.565408282698954,0,0,0.10267639119632826
81.57329283336755,7.624803161940974,216.41659847978778,672.3838432917037,1,1,0.9824728048119533
67.48262172941901,10.65752482060696,227.18185725707934,181.1832790500828,0,0,0.19807046476587342
61.93642064405174,10.827598194902997,218.18775826781896,824.3504472493495,1,1,0.7147373980887088
56.901274479551276,11.99253363889428,213.8234810456565,168.20365576651818,0,0,0.25985828737934386
59.803839111199494,11.631474425078594,209.80335661307885,911.3391900786307,1,1,0.9228770116538201
61.10639875547861,10.646158546232058,228.97066196887133,76.75806188873801,0,1,0.5884802285468848
62.42576387657068,8.06331109027273,225.8855326977072,211.1259425580374,0,0,0.08626976746956469
68.65062532353315,11.238308522010396,213.93299705234702,169.88707321905727,0,0,0.12961611289422906
63.39771693457862,7.119898234811411,211.71502975219755,233.8128330930641,0,0,0.05339404489168083
77.73752600665031,11.586977441104427,208.97707850163576,829.5627156830499,1,1,0.9346534823288793
67.27808637737408,13.455086340201422,189.80487844179174,466.6931208844084,1,1,0.8841301479715858
70.48838049274416,9.11343549761698,208.8347556005134,176.89695082398393,0,0,0.044443944203301854
74.11585291980957,8.089754841301295,221.90635591265024,992.5146201619714,1,1,0.9296510022860538
73.37409746083301,6.236301909004721,204.8335745057921,131.68690343620705,0,0,0.4698872935622152
63.59847800664553,10.616101079008205,229.96570510579448,35.590230806476384,1,1,0.6664504229270186
66.04762772277344,10.22654082107553,227.04506539824723,599.3597250421656,0,0,0.1414211837110004
79.54708320235065,8.897628567342933,229.68184660532862,586.6239182836626,0,1,0.9092133682731751
71.44887428448206,9.957265411303128,209.86104047707462,763.6922693503205,0,0,0.3777627838801607
66.03563583868828,6.478474481688364,234.87246155335927,451.73947598144383,1,1,0.8685581077540885
65.80391238388681,9.94889185801711,215.2377912645534,403.2077561332522,0,0,0.0070853393685259575
70.09216966532696,8.928073109771905,230.11463035408357,572.1229637222062,1,0,0.31404157764193813
60.646040394870724,6.874908286226915,228.58451116656664,202.29394915820365,0,0,0.22889848498370846
73.40945744813156,9.947188486082146,192.52495157274765,139.25407078470397,1,0,0.3868788941574049
65.10813611192484,9.301366407763606,236.8501427870851,306.4154493510364,1,1,0.9048290103398263
75.4039036277731,7.084897001070139,216.4807868218349,130.71732358975729,1,1,0.8315721354390633
71.66831052643474,11.80786968217239,220.58022734808395,842.1653766503811,1,1,0.8789523259030063
70.4853877467402,9.856797481171872,223.26744764602321,677.4380712282945,1,0,0.09256405550194982
66.99146693885301,9.48524692515331,228.0712259663731,823.6236107489735,1,1,0.7867178013106636
73.77695612912878,9.756504983233432,223.27879524159357,40.28551877799846,0,0,0.398928457240997
73.19296229388686,10.281772493822407,224.73632076811455,439.8556397138349,0,0,0.13721975245810125
65.4530627260263,12.374060611120761,227.84604287898023,265.92845063211877,1,1,0.8424570468786629
68.45226780343005,13.87785799811657,234.31366781831184,133.18212566752342,1,1,0.9846355794283788
62.96669451575889,12.002092185134282,217.95528779013878,20.137848949289825,1,1,0.6756014845274723
72.31051737131635,10.28343382727981,209.14174871114815,275.92269438054683,1,0,0.09912605352680323
73.16465908877755,10.520643677542441,221.94107630953357,604.3129822403198,0,0,0.1625278076574248
75.79664901682123,9.05019268675495,217.55919526325798,796.2436094563872,1,1,0.7211361491966914
73.10904981108598,8.515058828603904,215.08846252857896,410.68263301028287,0,0,0.06558423693051159
70.85432719063971,8.12912259591081,239.62587190530795,749.8599312882687,1,1,0.978065812922753
67.22400236653401,7.540900811095167,228.69154592496898,724.0291887729212,0,1,0.6468762452702393
70.35783118609696,7.855721976028786,232.3743813468414,645.572181427428,1,1,0.7195615693063685
69.27819794038028,12.27975712225809,225.53251219984784,519.6116758030075,1,1,0.7143566419843141
74.87559866708875,10.297334914404223,228.90383163519786,728.7780544506475,0,1,0.6361881326144119
64.28514851084688,12.728280859947688,224.87872284871074,805.4323292999863,1,1,0.8961796563413572
61.434327354545616,7.305747420940607,210.78140186874685,443.0337063376194,0,0,0.10215511380722508
